ㄇㄨˊ mu2
ㄇㄨˋ mu4
ㄇㄨ˙ mu0
ㄈㄚ fɑ1
ㄈㄚˇ fɑ3
ㄈㄚˊ fɑ2
ㄈㄚˋ fɑ4
ㄈㄚ˙ fɑ0
ㄈㄛ fɔ1
ㄈㄛˇ fɔ3
ㄈㄛˊ fɔ2
ㄈㄛˋ fɔ4
ㄈㄛ˙ fɔ0
ㄈㄟ fei1
ㄈㄟˇ fei3
ㄈㄟˊ fei2
ㄈㄟˋ fei4
ㄈㄟ˙ fei0
ㄈㄡ fou1
ㄈㄡˇ fou3
ㄈㄡˊ fou2
ㄈㄡˋ fou4
ㄈㄡ˙ fou0
ㄈㄢ fan1
ㄈㄢˇ fan3
ㄈㄢˊ fan2
ㄈㄢˋ fan4
ㄈㄢ˙ fan0
ㄈㄣ fən1
ㄈㄣˇ fən3
ㄈㄣˊ fən2
ㄈㄣˋ fən4
ㄈㄣ˙ fən0
ㄈㄤ fɑŋ1
ㄈㄤˇ fɑŋ3
ㄈㄤˊ fɑŋ2
ㄈㄤˋ fɑŋ4
ㄈㄤ˙ fɑŋ0
ㄈㄥ fəŋ1
ㄈㄥˇ fəŋ3
ㄈㄥˊ fəŋ2
ㄈㄥˋ fəŋ4
ㄈㄥ˙ fəŋ0
ㄈㄨ fu1
ㄈㄨˇ fu3
ㄈㄨˊ fu2
ㄈㄨˋ fu4
ㄈㄨ˙ fu0
ㄉㄚ tɑ1
ㄉㄚˇ tɑ3
ㄉㄚˊ tɑ2
ㄉㄚˋ tɑ4
ㄉㄚ˙ tɑ0
ㄉㄜ tə1
ㄉㄜˇ tə3
ㄉㄜˊ tə2
ㄉㄜˋ tə4
ㄉㄜ˙ tə0
ㄉㄞ tai1
ㄉㄞˇ tai3
ㄉㄞˊ tai2
ㄉㄞˋ tai4
ㄉㄞ˙ tai0
ㄉㄟ tei1
ㄉㄟˇ tei3
ㄉㄟˊ tei2
ㄉㄟˋ tei4
ㄉㄟ˙ tei0
ㄉㄠ tɑu1
ㄉㄠˇ tɑu3
ㄉㄠˊ tɑu2
ㄉㄠˋ tɑu4
ㄉㄠ˙ tɑu0
ㄉㄡ tou1
ㄉㄡˇ tou3
ㄉㄡˊ tou2
ㄉㄡˋ tou4
ㄉㄡ˙ tou0
ㄉㄢ tan1
ㄉㄢˇ tan3
ㄉㄢˊ tan2
ㄉㄢˋ tan4
ㄉㄢ˙ tan0
ㄉㄤ tɑŋ1
ㄉㄤˇ tɑŋ3
ㄉㄤˊ tɑŋ2
ㄉㄤˋ tɑŋ4
ㄉㄤ˙ tɑŋ0
ㄉㄥ təŋ1
ㄉㄥˇ təŋ3
ㄉㄥˊ təŋ2
ㄉㄥˋ təŋ4
ㄉㄥ˙ təŋ0
ㄉㄧ ti1
ㄉㄧˇ ti3
ㄉㄧˊ ti2
ㄉㄧˋ ti4
ㄉㄧ˙ ti0
ㄉㄧㄚ tiɑ1
ㄉㄧㄚˇ tiɑ3
ㄉㄧㄚˊ tiɑ2
ㄉㄧㄚˋ tiɑ4
ㄉㄧㄚ˙ tiɑ0
ㄉㄧㄝ tiɛ1
ㄉㄧㄝˇ tiɛ3
ㄉㄧㄝˊ tiɛ2
ㄉㄧㄝˋ tiɛ4
ㄉㄧㄝ˙ tiɛ0
ㄉㄧㄠ tiɑu1
ㄉㄧㄠˇ tiɑu3
ㄉㄧㄠˊ tiɑu2
ㄉㄧㄠˋ tiɑu4
ㄉㄧㄠ˙ tiɑu0
ㄉㄧㄡ tiou1
ㄉㄧㄡˇ tiou3
ㄉㄧㄡˊ tiou2
ㄉㄧㄡˋ tiou4
ㄉㄧㄡ˙ tiou0
ㄉㄧㄢ tiɛn1
ㄉㄧㄢˇ tiɛn3
ㄉㄧㄢˊ tiɛn2
ㄉㄧㄢˋ tiɛn4
ㄉㄧㄢ˙ tiɛn0
ㄉㄧㄥ tiŋ1
ㄉㄧㄥˇ tiŋ3
ㄉㄧㄥˊ tiŋ2
ㄉㄧㄥˋ tiŋ4
ㄉㄧㄥ˙ tiŋ0
